"Country","Area","Year","Population","Emission"
"Afghanistan",652864.0,1990,12412311,2.546
"Afghanistan",652864.0,2005,25654274,1.063
"Afghanistan",652864.0,2017,36296111,11.422
"Albania",28748.0,1990,3286070,6.583
"Albania",28748.0,2005,3086810,4.196
"Albania",28748.0,2017,2884169,5.026
"Algeria",2381741.0,1990,25758872,65.677
"Algeria",2381741.0,2005,33149720,98.197
"Algeria",2381741.0,2017,41389174,159.929
"Angola",1246700.0,1990,11848385,5.851
"Angola",1246700.0,2005,19433604,15.975
"Angola",1246700.0,2017,29816769,30.876
"Anguilla",0,1990,NA,0.006
"Anguilla",0,2005,NA,0.014
"Anguilla",0,2017,NA,0.028
"Antigua and Barbuda",440.0,1990,62533,0.223
"Antigua and Barbuda",440.0,2005,81462,0.283
"Antigua and Barbuda",440.0,2017,95425,0.624
"Argentina",2780400.0,1990,32618648,112.434
"Argentina",2780400.0,2005,38892924,165.429
"Argentina",2780400.0,2017,43937143,209.968
"Armenia",29743.0,1990,3538164,20.699
"Armenia",29743.0,2005,2981262,4.542
"Armenia",29743.0,2017,2944789,4.832
"Aruba",180.0,1990,62152,0.297
"Aruba",180.0,2005,100028,0.47
"Aruba",180.0,2017,105361,0.959
"Australia",7692024.0,1990,16960600,275.408
"Australia",7692024.0,2005,20178543,391.59
"Australia",7692024.0,2017,24584619,402.253
"Austria",83879.0,1990,7723954,62.918
"Austria",83879.0,2005,8253656,80.994
"Austria",83879.0,2017,8819902,72.249
"Azerbaijan",86600.0,1990,7242758,58.077
"Azerbaijan",86600.0,2005,8538610,30.485
"Azerbaijan",86600.0,2017,9845316,32.544
"Bahamas",13878.0,1990,256227,1.524
"Bahamas",13878.0,2005,324848,2.068
"Bahamas",13878.0,2017,381749,2.997
"Bahrain",765.3,1990,495927,11.988
"Bahrain",765.3,2005,889157,23.388
"Bahrain",765.3,2017,1494077,35.775
"Bangladesh",147570.0,1990,103171957,13.868
"Bangladesh",147570.0,2005,139035505,38.834
"Bangladesh",147570.0,2017,159685421,84.546
"Barbados",439.0,1990,260933,0.776
"Barbados",439.0,2005,276320,2.162
"Barbados",439.0,2017,286229,3.172
"Belarus",207595.0,1990,10151135,109.069
"Belarus",207595.0,2005,9562083,61.396
"Belarus",207595.0,2017,9450233,62.34
"Belgium",30528.0,1990,10006545,115.903
"Belgium",30528.0,2005,10546885,118.708
"Belgium",30528.0,2017,11419752,104.221
"Belize",22966.0,1990,187554,0.188
"Belize",22966.0,2005,283798,0.44
"Belize",22966.0,2017,375775,0.44
"Benin",114763.0,1990,4978489,0.415
"Benin",114763.0,2005,7982223,2.839
"Benin",114763.0,2017,11175192,7.097
"Bermuda",0,1990,NA,0.335
"Bermuda",0,2005,NA,0.284
"Bermuda",0,2017,NA,0.429
"Bhutan",38394.0,1990,530801,0.208
"Bhutan",38394.0,2005,648744,0.515
"Bhutan",38394.0,2017,745563,1.454
"Bolivia",1098581.0,1990,6864839,6.287
"Bolivia",1098581.0,2005,9232301,9.998
"Bolivia",1098581.0,2017,11192853,20.462
"Bosnia and Herzegovina",51129.0,1990,4463422,24.559
"Bosnia and Herzegovina",51129.0,2005,3765332,16.89
"Bosnia and Herzegovina",51129.0,2017,3351534,25.618
"Botswana",581730.0,1990,1286756,2.818
"Botswana",581730.0,2005,1799077,4.465
"Botswana",581730.0,2017,2205076,7.913
"Brazil",881913.0,1990,149003225,228.603
"Brazil",881913.0,2005,186127108,380.765
"Brazil",881913.0,2017,207833825,492.791
"Brunei",5765.0,1990,258714,3.397
"Brunei",5765.0,2005,365112,5.174
"Brunei",5765.0,2017,424481,6.711
"Bulgaria",110993.6,1990,8841466,82.271
"Bulgaria",110993.6,2005,7686964,52.032
"Bulgaria",110993.6,2017,7102452,49.568
"Burkina Faso",274200.0,1990,8811033,0.38
"Burkina Faso",274200.0,2005,13421935,1.038
"Burkina Faso",274200.0,2017,19193236,3.399
"Burundi",27834.0,1990,5438959,0.21
"Burundi",27834.0,2005,7364857,0.307
"Burundi",27834.0,2017,10827010,0.289
"Cambodia",181035.0,1990,8975597,0.407
"Cambodia",181035.0,2005,13273355,2.686
"Cambodia",181035.0,2017,16009413,10.56
"Cameroon",475442.0,1990,11780086,7.097
"Cameroon",475442.0,2005,17733408,5.52
"Cameroon",475442.0,2017,24566070,9.768
"Canada",9984670.0,1990,27541323,455.827
"Canada",9984670.0,2005,32164313,581.267
"Canada",9984670.0,2017,36732091,617.301
"Cape Verde",4033.0,1990,337953,0.049
"Cape Verde",4033.0,2005,463034,0.227
"Cape Verde",4033.0,2017,537499,0.955
"Cayman Islands",0,1990,NA,0.148
"Cayman Islands",0,2005,NA,0.188
"Cayman Islands",0,2017,NA,0.493
"Central African Republic",622984.0,1990,2806740,0.159
"Central African Republic",622984.0,2005,4038380,0.246
"Central African Republic",622984.0,2017,4596023,0.486
"Chad",1284000.0,1990,5963250,0.268
"Chad",1284000.0,2005,10096630,0.383
"Chad",1284000.0,2017,15016761,0.925
"Chile",756096.0,1990,13274617,32.654
"Chile",756096.0,2005,16182713,59.747
"Chile",756096.0,2017,18470435,90.325
"China",9596961.0,1990,1176883681,2397.048
